,author
&nbsp;طالب بن محفوظ (جدة),6
واس - أملج,6
منيس الشيحي - حفرالباطن,6
حذيفة القرشي - جدة,6
اليوم، وكالات - عواصم,6
عبدالعزيز اليوسف,6
د. أمل الطعيمي,6
وليد السليم,6
واس - بريدة  ,6
عنيزة - عطاالله الجروان:,6
عبد الرحمن القرني - عسير,6
نيويورك-الوئام:,6
المدينة المنورة: عبدالعزيز الحجوري,6
ماجد بن رائف,6
عبدالرحمن مرشود,6
رائد السمهوري,6
يزيد بن محمد,6
يوسف مكي,6
عبدالله المطيري,6
الرياض: معيض الرفدي,6
القاهرة: هاني زايد، صفوت عمران,6
الرياض- أسمهان الغامدي,6
سكينة المشيخص,6
جازان - أنور خواجي,6
عبدالعزيز قاسم,6
 سطام الجميعة (حائل),6
سليمان العيدي,6
سارة الرشيدان,6
رمضان جريدي العنزي,6
هناء العمير,6
علي عائض - الطائف,6
محمد أبوهداية,6
 وكالات (عواصم),6
رويترز - باريس,6
أ ف ب - القاهرة,6
عبدالله فراج الشريف,6
واس - جازان,6
جدة - منى الحيدري,6
تحليل - وليد العبد الهادي:,6
الطائف : واس,6
خير الله زربان - جدة,6
الجبيل - عيسى الخاطر:,6
نجران - الجزيرة:,6
سعيد المعبدي - ممدوح العويضي - جدة,6
جدة: د. عبد الحفيظ يحيى خوجة,6
عبدالرحمن الحربي - جدة,6
أبها - عبد الله الهاجري:,6
 عكاظ (عمان),6
جازان - رؤى مصطفى,6
أحمد عسيري,6
القاهرة - محمد خليل,6
الطائف - نواف بن خيشوم,6
صنعاء - د ب أ,6
فهد عريشي,6
الخرج - فادي المقرن,6
الرياض: أحمد عامر,6
تبوك - نواف العتيبي,6
عبدالله القطان - الاحساء,6
أبها: سعيد آل ميلس,6
واس - القاهرة,6
سامي الفليح,6
أحمد الليثي - القاهرة,6
روما - رويترز,6
لوس أنجلوس - واس,5
مكة المكرمة: الوطن,5
عبد الله الجعيثن,5
إدريس الدريس,5
علي السلمي - جدة,5
واشنطن ـ رويترز,5
سلمان بن محمد العُمري,5
عبدالرحمن أبورياح - الباحة,5
جدة - صالح الخزمري:,5
محمد السعد,5
الكويت - الجزيرة - طلال الظفيري:,5
الجوف - خالد المسلم:,5
أبها، تحقيق- مريم الجابر,5
موسكو - رويترز,5
فيصل البعيجان - الرياض,5
متابعة - الرياض الإلكتروني:,5
الدوحة - واس,5
سبق- القصيم:,5
حاتم العميري- سبق- مكة المكرمة:,5
المدينة المنورة - واس,5
القاهرة - علي البلهاسي:,5
محمد المعيبد,5
 خالد العصيمي (الدوادمي),5
كتبت - عايدة بنت صالح:,5
نيويورك - واس,5
القاهرة - مكتب الجزيرة - علي البلهاسي:,5
